id,name,tip
MAT086,Programare Competitiva,Seminar - Facultativ
MAT087,Programare Funcțională,Curs
MAT088,Programare Funcțională,Laborator
MAT089,Programare avansată,Laborator
MAT090,Programare avansată,Curs
MAT091,Programare concurentă şi distribuită,Laborator
MAT092,Programare concurentă şi distribuită,Curs
MAT093,Programare orientata-obiect,Laborator
MAT094,Programare orientata-obiect,Curs
MAT095,Proiectarea algoritmilor,Curs
MAT096,Proiectarea algoritmilor,Seminar
MAT097,Proiectarea jocurilor,Curs
MAT098,Proiectarea jocurilor,Laborator
MAT099,Protocoale de securitate. Modelare si verificare.,Curs
MAT100,Protocoale de securitate. Modelare si verificare.,Laborator
MAT101,Psihologia Comunicarii Profesionale in Domeniul IT-ului,Curs
MAT102,Psihologia Comunicarii Profesionale in Domeniul IT-ului,Seminar
MAT103,Retele Petri si Aplicatii,Laborator
MAT104,Retele Petri si Aplicatii,Curs
MAT105,Scoala Doctorala,Alte activitati
MAT106,Securitate IoT,Curs
MAT107,Securitate IoT,Laborator
MAT108,Securitatea Retelelor de Calculatoare,Curs
MAT109,Securitatea Retelelor de Calculatoare,Laborator
MAT110,Sisteme Bazate pe Evenimente,Curs
MAT111,Sisteme Bazate pe Evenimente,Laborator
MAT112,Sisteme Embedded,Curs
MAT113,Sisteme Embedded,Laborator
MAT114,Sisteme bazate pe cunoștințe,Curs
MAT115,Sisteme bazate pe cunoștințe,Laborator
MAT116,Sisteme de Dialog si Asistenti Virtuali,Curs
MAT117,Sisteme de Dialog si Asistenti Virtuali,Laborator
MAT118,Sisteme de Operare,Curs
MAT119,Sisteme de Operare,Laborator
MAT120,Smart Card-uri si Aplicatii,Curs
MAT121,Smart Card-uri si Aplicatii,Laborator
MAT122,Software Engineering,Laborator
MAT123,Software Engineering,Curs
MAT124,Specificarea şi verificarea sistemelor,Curs
MAT125,Specificarea şi verificarea sistemelor,Seminar
MAT126,Tehnici de Programare pe Platforme Mobile,Curs
MAT127,Tehnici de Programare pe Platforme Mobile,Laborator
MAT128,Tehnici de procesarea limbajului natural,Curs
MAT129,Tehnici de procesarea limbajului natural,Laborator
MAT130,Tehnologii Web,Laborator
MAT131,Tehnologii Web,Curs
MAT132,Topici avansate in .NET,Curs
MAT133,Topici avansate in .NET,Laborator
MAT134,Tutoriat,Laborator
MAT135,Web Technologies,Curs
MAT136,Web Technologies,Laborator
